計,年月日
87063,2011-07-28
83099,2011-08-11
82945,2011-08-25
74900,2011-09-08
73249,2011-09-22
71578,2011-10-06
71358,2011-10-20
71565,2011-11-02
328903,2011-11-17
332691,2011-12-01
334786,2011-12-15
337819,2012-01-12
341411,2012-01-26
342509,2012-02-09
343935,2012-02-23
340614,2012-03-08
344345,2012-03-22
344477,2012-04-05
341235,2012-05-10
346987,2012-06-07
344171,2012-07-05
343334,2012-08-02
329777,2012-09-06
326873,2012-10-04
324858,2012-11-01
321433,2012-12-06
316353,2013-01-17
315196,2013-02-07
313329,2013-03-07
309057,2013-04-04
303571,2013-05-09
298033,2013-06-06
293782,2013-07-04
289611,2013-08-12
286006,2013-09-12
282111,2013-10-10
277609,2013-11-14
274088,2013-12-12
270306,2014-01-16
267419,2014-02-13
263958,2014-03-13
263392,2014-04-10
258219,2014-05-15
251419,2014-06-12
247233,2014-07-10
245622,2014-08-14
243040,2014-09-11
239341,2014-10-16
235957,2014-11-13
233512,2014-12-11
229897,2015-01-15
